name,link,price,beds,bath
4BR/2Ba unit at 2812 N Howard Street,https://baltimore.craigslist.org/apa/d/baltimore-bedroom-remington-charles/7616713456.html,2200,4,2
1BR/2.5Ba unit at Guilford Ave near 28th St,https://baltimore.craigslist.org/apa/d/baltimore-bedroom-office-in-inviting/7616394925.html,900,1,2.5
1BR/1Ba unit at 2809 Saint Paul St#3,https://baltimore.craigslist.org/apa/d/baltimore-1br-ba-apartment-with-rooftop/7619177140.html,1360,1,1
1BR/1Ba unit at 2927 N Calvert St 2R,https://baltimore.craigslist.org/apa/d/baltimore-1br-1ba-apartment-with/7619176403.html,1150,1,1
2BR/2Ba unit at saint paul street near 22nd,https://baltimore.craigslist.org/apa/d/baltimore-bedrooms-plus-office-baths-in/7617597860.html,1200,2,2
2BR/2Ba unit at 2129 saint paul street near 22nd street,https://baltimore.craigslist.org/apa/d/baltimore-bedrooms-baths-in-charles/7613978186.html,1100,2,2
5BR/2.5Ba unit at google map,https://baltimore.craigslist.org/apa/d/room-for-rent-charles-village/7613192360.html,480,5,2.5
1BR/1Ba unit at 2315 Saint Paul St,https://www.apartments.com/city-view-lofts-baltimore-md/7cfvw9z/,1340,1,1
2BR/2Ba unit at 2315 Saint Paul St,https://www.apartments.com/city-view-lofts-baltimore-md/7cfvw9z/,1655,2,2
2BR/2Ba unit at 2315 Saint Paul St,https://www.apartments.com/city-view-lofts-baltimore-md/7cfvw9z/,1740,2,2
4BR/4Ba unit at 2807 Cresmont Ave,https://www.apartments.com/hh-cresmont-baltimore-md/bc5pf99/,895,4,4
1BR/1Ba unit at 220 E 31st St,https://www.apartments.com/the-telephone-building-baltimore-md/ndqsxnm/,1450,1,1
"Studio,BR/StudioBa unit at 3100 Saint Paul St",https://www.apartments.com/wyman-towers-llc-baltimore-md/k3dqxfc/,900,"Studio,",Studio
1BR/1Ba unit at 3100 Saint Paul St,https://www.apartments.com/wyman-towers-llc-baltimore-md/k3dqxfc/,1200,1,1
2BR/2Ba unit at 3100 Saint Paul St,https://www.apartments.com/wyman-towers-llc-baltimore-md/k3dqxfc/,1800,2,2
